source_id,title,status,text_path,characters,wpl,bristol,weca,obc,fbc,clean_air_zone,demand_management,secretary_of_state,confirmation,net_proceeds,variation,revocation,rpi,consultation,boundary,licensing,enforcement,parking_inventory
SRC-ACADEMIC-0002,The impact of the Nottingham Workplace Parking Levy on travel-to-work mode share,downloaded,evidence/processed/text/SRC-ACADEMIC-0002.txt,58237,136,1,0,0,0,0,2,0,2,0,0,0,0,3,1,0,0,9
SRC-BCC-0001,Workplace parking levy project page,downloaded,evidence/processed/text/SRC-BCC-0001.txt,3599,16,7,0,5,1,1,0,0,0,0,0,0,0,1,0,1,0,2
SRC-BCC-0002,Further information - Bristol Workplace Parking Levy,downloaded,evidence/processed/text/SRC-BCC-0002.txt,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC-BCC-0003,Committee Report - Workplace Parking Levy,downloaded,evidence/processed/text/SRC-BCC-0003.txt,18609,34,16,0,7,5,3,0,3,1,0,2,0,0,23,0,1,0,7
SRC-BCC-0004,Decision notice - Transport and Connectivity Policy Committee 12 September 2024,downloaded,evidence/processed/text/SRC-BCC-0004.txt,8642,4,13,0,5,2,1,0,0,0,0,2,0,0,5,0,0,0,0
SRC-BCC-0005,Public reports pack - Transport and Connectivity Policy Committee,downloaded,evidence/processed/text/SRC-BCC-0005.txt,589803,674,730,78,80,48,35,2,15,35,0,21,0,6,173,12,57,8,154
SRC-BCC-0006,Appendix A - Feasibility Study Report for a WPL Scheme in Bristol,downloaded,evidence/processed/text/SRC-BCC-0006.txt,172741,594,476,36,38,17,24,1,12,7,0,2,0,0,61,4,50,3,37
SRC-BCC-0007,Appendix B - Equality Impact Assessment - Workplace Parking Levy OBC,downloaded,evidence/processed/text/SRC-BCC-0007.txt,26298,23,19,0,1,0,0,0,0,1,0,0,0,0,8,1,1,0,8
SRC-BCC-0008,Workplace Parking Levy Update,downloaded,evidence/processed/text/SRC-BCC-0008.txt,14451,43,7,0,10,1,2,0,1,0,1,0,0,0,9,0,1,0,5
SRC-BCC-0009,Committee Report - WPL October 2025,downloaded,evidence/processed/text/SRC-BCC-0009.txt,13248,25,6,0,10,1,4,0,0,1,0,0,0,0,14,1,0,0,2
SRC-BCC-0010,Appendix B - Equality Impact Assessment - Workplace Parking Levy reviewed Sept 2025,downloaded,evidence/processed/text/SRC-BCC-0010.txt,29317,27,30,0,3,0,0,1,0,1,1,0,0,0,9,1,0,0,7
SRC-BCC-0011,Public reports pack - Transport and Connectivity Policy Committee,downloaded,evidence/processed/text/SRC-BCC-0011.txt,679246,649,932,65,60,38,197,2,16,31,1,15,0,0,216,19,58,8,73
SRC-BCC-0014,Committee Report - Workplace Parking Levy March 2026,downloaded,evidence/processed/text/SRC-BCC-0014.txt,15615,34,14,0,17,2,2,0,1,0,0,0,0,0,8,1,2,0,3
